Cell Type	TF/DNase/HistoneMark	Treatment	File accession	AUC	AUPRC	AUPRC Baseline
Osteobl	DNase	None	wgEncodeAwgDnaseDukeOsteoblUniPk.narrowPeak	0,849303246428156	0,350313789607816	0,0547839234853546
PanIsletD	DNase	None	wgEncodeAwgDnaseDukePanisletdUniPk.narrowPeak	0,914119581874783	0,457494331135842	0,0465733675586343
PanIslets	DNase	None	wgEncodeAwgDnaseDukePanisletsUniPk.narrowPeak	0,892165869624381	0,370622373019105	0,0332158303737825
pHTE	DNase	None	wgEncodeAwgDnaseDukePhteUniPk.narrowPeak	0,892540969654915	0,423506474755886	0,0533993811315447
ProgFib	DNase	None	wgEncodeAwgDnaseDukeProgfibUniPk.narrowPeak	0,915250809991958	0,440472659314599	0,0452371743028939
RWPE1	DNase	None	wgEncodeAwgDnaseDukeRwpe1UniPk.narrowPeak	0,927696293727135	0,474317288662231	0,0420505292028552
Stellate	DNase	None	wgEncodeAwgDnaseDukeStellateUniPk.narrowPeak	0,925775813758476	0,449449120985647	0,0393253982207532
T-47D	DNase	None	wgEncodeAwgDnaseDukeT47dUniPk.narrowPeak	0,889518980081018	0,370558998602517	0,0355497731987763
Adult_CD4_Th0	DNase	None	wgEncodeAwgDnaseDukeTh0UniPk.narrowPeak	0,884814334961237	0,371040656589608	0,0356244945321566
Urothelia	DNase	None	wgEncodeAwgDnaseDukeUrotheliaUniPk.narrowPeak	0,921872671606703	0,449818841494393	0,0367672913956187
Urothelia	DNase	UT189	wgEncodeAwgDnaseDukeUrotheliaut189UniPk.narrowPeak	0,905203185850282	0,421751900667622	0,0402879848095925
AG04449	DNase	None	wgEncodeAwgDnaseUwAg04449UniPk.narrowPeak	0,930299369357836	0,458221816869445	0,0425823692816203
AG04450	DNase	None	wgEncodeAwgDnaseUwAg04450UniPk.narrowPeak	0,930558583788783	0,453958420062567	0,0401737051232462
AG09309	DNase	None	wgEncodeAwgDnaseUwAg09309UniPk.narrowPeak	0,929469518889516	0,495959455904626	0,0511885087380006
AG09319	DNase	None	wgEncodeAwgDnaseUwAg09319UniPk.narrowPeak	0,927775855337154	0,435565132627243	0,0387539997890221
AG10803	DNase	None	wgEncodeAwgDnaseUwAg10803UniPk.narrowPeak	0,935139242951069	0,490665334493909	0,0440811913217764
AoAF	DNase	None	wgEncodeAwgDnaseUwAoafUniPk.narrowPeak	0,928060187376926	0,482309332883159	0,0472854179120222
BE2_C	DNase	None	wgEncodeAwgDnaseUwBe2cUniPk.narrowPeak	0,913226232675222	0,455713760137028	0,0446965434790253
BJ	DNase	None	wgEncodeAwgDnaseUwBjUniPk.narrowPeak	0,926037246903907	0,439866947199317	0,0426439044973452
Caco-2	DNase	None	wgEncodeAwgDnaseUwCaco2UniPk.narrowPeak	0,955102255054901	0,44117251139532	0,0224471676219276
CD20+	DNase	None	wgEncodeAwgDnaseUwCd20UniPk.narrowPeak	0,917355569842305	0,393547977576309	0,0297962305284996
CD34+_Mobilized	DNase	None	wgEncodeAwgDnaseUwCd34mobilizedUniPk.narrowPeak	0,92550026789802	0,491902046975553	0,0423098561834101
CMK	DNase	None	wgEncodeAwgDnaseUwCmkUniPk.narrowPeak	0,928677330290734	0,431476929843936	0,0282798269981364
